"About the data: Exported on Jan 08, 2025. Criteria: '(LLM) AND (HLS) AND (FPGA)' in full data; Publication Type is Preprint or Proceeding.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2025 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
1369,pub.1174540655,10.48550/arxiv.2408.02793,,,Evaluating Large Language Models for Automatic Register Transfer Logic Generation via High-Level Synthesis,"The ever-growing popularity of large language models (LLMs) has resulted in
their increasing adoption for hardware design and verification. Prior research
has attempted to assess the capability of LLMs to automate digital hardware
design by producing superior-quality Register Transfer Logic (RTL)
descriptions, particularly in Verilog. However, these tests have revealed that
Verilog code production using LLMs at current state-of-the-art lack sufficient
functional correctness to be practically viable, compared to automatic
generation of programs in general-purpose programming languages such as C, C++,
Python, etc. With this as the key insight, in this paper we assess the
performance of a two-stage software pipeline for automated Verilog RTL
generation: LLM based automatic generation of annotated C++ code suitable for
high-level synthesis (HLS), followed by HLS to generate Verilog RTL. We have
benchmarked the performance of our proposed scheme using the open-source
VerilogEval dataset, for four different industry-scale LLMs, and the Vitis HLS
tool. Our experimental results demonstrate that our two-step technique
substantially outperforms previous proposed techniques of direct Verilog RTL
generation by LLMs in terms of average functional correctness rates, reaching
score of 0.86 in pass@1 metric.",,,arXiv,,,,2024-08-05,2024,,,,,,All OA; Green,Preprint,"Swaroopa, Sneha; Mukherjee, Rijoy; Debnath, Anushka; Chakraborty, Rajat Subhra","Swaroopa, Sneha (); Mukherjee, Rijoy (); Debnath, Anushka (); Chakraborty, Rajat Subhra ()",,"Swaroopa, Sneha (); Mukherjee, Rijoy (); Debnath, Anushka (); Chakraborty, Rajat Subhra ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1174540655,"40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware; 46 Information and Computing Sciences",
1366,pub.1168042270,10.48550/arxiv.2401.09890,,,A Survey on Hardware Accelerators for Large Language Models,"Large Language Models (LLMs) have emerged as powerful tools for natural
language processing tasks, revolutionizing the field with their ability to
understand and generate human-like text. As the demand for more sophisticated
LLMs continues to grow, there is a pressing need to address the computational
challenges associated with their scale and complexity. This paper presents a
comprehensive survey on hardware accelerators designed to enhance the
performance and energy efficiency of Large Language Models. By examining a
diverse range of accelerators, including GPUs, FPGAs, and custom-designed
architectures, we explore the landscape of hardware solutions tailored to meet
the unique computational demands of LLMs. The survey encompasses an in-depth
analysis of architecture, performance metrics, and energy efficiency
considerations, providing valuable insights for researchers, engineers, and
decision-makers aiming to optimize the deployment of LLMs in real-world
applications.",,,arXiv,,,,2024-01-18,2024,,,,,,All OA; Green,Preprint,"Kachris, Christoforos","Kachris, Christoforos ()",,"Kachris, Christoforos ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1168042270,33 Built Environment and Design; 3301 Architecture; 46 Information and Computing Sciences,7 Affordable and Clean Energy
1359,pub.1182091476,10.1109/mlcad62225.2024.10740232,,,MLCAD 2024 Cover Page,,,,,2024 ACM/IEEE 6th Symposium on Machine Learning for CAD (MLCAD),,,2024-11-06,2024,2024-11-06,,,,c1-c321,Closed,Proceeding,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1182091476,,
1348,pub.1173082302,10.1145/3625223.3649280,,,HDLGen-ChatGPT Case Study: RISC-V Processor VHDL and Verilog Model - Testbench and EDA Project Generation,"This paper presents the open source HDLGen-ChatGPT application, working in tandem with ChatGPT-3.5, the free online large language model (LLM) chat interface. The tools enable fast digital systems design and test specification capture, and automatic generation of both VHDL and Verilog models, and testbenches, and AMD Vivado and Intel Quartus Electronic Design Automation (EDA) projects. EDA tools check the generated HDL syntax, simulate and synthesise HDL models, and follow the steps to FPGA hardware prototyping. The tools exploit a formal, top-down design and test specification documentation process, domain knowledge, and the flexibility of LLMs, for HDL code generation. Results are included for a hierarchical RV32I RISC-V processor design. Process steps are illustrated for the RISC-V 32 × 32-bit register bank component. The process typically requires only minimal manual HDL capture or editing, and often none at all. URLs to tutorial videos for the complete RISC-V design are provided on the GitHub project repository. The paper evaluates the results and provides HDLGen-ChatGPT and ChatGPT usage recommendations. The tools can be applied in digital systems training programmes, with reduced emphasis on the assessment of HDL model and testbench capture and generation, while maintaining strong emphasis on the assessment of system design, test planning and documentation, HDL simulation verification/debug, and analysis of synthesised netlists.",,,,Proceedings of the 34th International Workshop on Rapid System Prototyping,,,2023-09-21,2023,2024-06-21,2023-09-21,,,1-7,Closed,Proceeding,"Morgan, Fearghal; Byrne, John Patrick; Bupathi, Abishek; George, Roshan; Elahi, Adnan; Callaly, Frank; Kelly, Seán; O'Loughlin, Declan","Morgan, Fearghal (University of Galway, Galway, Ireland); Byrne, John Patrick (University of Galway, Galway, Ireland); Bupathi, Abishek (University of Galway, Galway, Ireland); George, Roshan (University of Galway, Galway, Ireland); Elahi, Adnan (University of Galway, Galway, Ireland); Callaly, Frank (University of Galway, Galway, Ireland); Kelly, Seán (University of Galway, Galway, Ireland); O'Loughlin, Declan (Trinity College Dublin, Dublin, Ireland)","Morgan, Fearghal (University of Galway)","Morgan, Fearghal (University of Galway); Byrne, John Patrick (University of Galway); Bupathi, Abishek (University of Galway); George, Roshan (University of Galway); Elahi, Adnan (University of Galway); Callaly, Frank (University of Galway); Kelly, Seán (University of Galway); O'Loughlin, Declan (Trinity College Dublin)",1,1,,0.91,,https://app.dimensions.ai/details/publication/pub.1173082302,33 Built Environment and Design; 40 Engineering; 4008 Electrical Engineering; 4010 Engineering Practice and Education; 46 Information and Computing Sciences,
1339,pub.1181619736,10.48550/arxiv.2410.18582,,,LLM-Aided Efficient Hardware Design Automation,"With the rapidly increasing complexity of modern chips, hardware engineers
are required to invest more effort in tasks such as circuit design,
verification, and physical implementation. These workflows often involve
continuous modifications, which are labor-intensive and prone to errors.
Therefore, there is an increasing need for more efficient and cost-effective
Electronic Design Automation (EDA) solutions to accelerate new hardware
development. Recently, large language models (LLMs) have made significant
advancements in contextual understanding, logical reasoning, and response
generation. Since hardware designs and intermediate scripts can be expressed in
text format, it is reasonable to explore whether integrating LLMs into EDA
could simplify and fully automate the entire workflow. Accordingly, this paper
discusses such possibilities in several aspects, covering hardware description
language (HDL) generation, code debugging, design verification, and physical
implementation. Two case studies, along with their future outlook, are
introduced to highlight the capabilities of LLMs in code repair and testbench
generation. Finally, future directions and challenges are highlighted to
further explore the potential of LLMs in shaping the next-generation EDA",,,arXiv,,,,2024-10-24,2024,,,,,,All OA; Green,Preprint,"Xu, Kangwei; Qiu, Ruidi; Zhao, Zhuorui; Zhang, Grace Li; Schlichtmann, Ulf; Li, Bing","Xu, Kangwei (); Qiu, Ruidi (); Zhao, Zhuorui (); Zhang, Grace Li (); Schlichtmann, Ulf (); Li, Bing ()",,"Xu, Kangwei (); Qiu, Ruidi (); Zhao, Zhuorui (); Zhang, Grace Li (); Schlichtmann, Ulf (); Li, Bing ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1181619736,40 Engineering; 4008 Electrical Engineering; 46 Information and Computing Sciences,
1338,pub.1170523943,10.48550/arxiv.2404.04815,,,Allo: A Programming Model for Composable Accelerator Design,"Special-purpose hardware accelerators are increasingly pivotal for sustaining
performance improvements in emerging applications, especially as the benefits
of technology scaling continue to diminish. However, designers currently lack
effective tools and methodologies to construct complex, high-performance
accelerator architectures in a productive manner. Existing high-level synthesis
(HLS) tools often require intrusive source-level changes to attain satisfactory
quality of results. Despite the introduction of several new accelerator design
languages (ADLs) aiming to enhance or replace HLS, their advantages are more
evident in relatively simple applications with a single kernel. Existing ADLs
prove less effective for realistic hierarchical designs with multiple kernels,
even if the design hierarchy is flattened.
  In this paper, we introduce Allo, a composable programming model for
efficient spatial accelerator design. Allo decouples hardware customizations,
including compute, memory, communication, and data type from algorithm
specification, and encapsulates them as a set of customization primitives. Allo
preserves the hierarchical structure of an input program by combining
customizations from different functions in a bottom-up, type-safe manner. This
approach facilitates holistic optimizations that span across function
boundaries. We conduct comprehensive experiments on commonly-used HLS
benchmarks and several realistic deep learning models. Our evaluation shows
that Allo can outperform state-of-the-art HLS tools and ADLs on all test cases
in the PolyBench. For the GPT2 model, the inference latency of the Allo
generated accelerator is 1.7x faster than the NVIDIA A100 GPU with 5.4x higher
energy efficiency, demonstrating the capability of Allo to handle large-scale
designs.",,,arXiv,,,,2024-04-07,2024,,,,,,All OA; Green,Preprint,"Chen, Hongzheng; Zhang, Niansong; Xiang, Shaojie; Zeng, Zhichen; Dai, Mengjia; Zhang, Zhiru","Chen, Hongzheng (); Zhang, Niansong (); Xiang, Shaojie (); Zeng, Zhichen (); Dai, Mengjia (); Zhang, Zhiru ()",,"Chen, Hongzheng (); Zhang, Niansong (); Xiang, Shaojie (); Zeng, Zhichen (); Dai, Mengjia (); Zhang, Zhiru ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1170523943,"33 Built Environment and Design; 40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware",7 Affordable and Clean Energy
1337,pub.1039274834,10.1145/996566.996606,,,An area estimation methodology for FPGA based designs at systemc-level,This paper presents a parametric area estimation methodology at SystemC level for FPGA-based designs. The approach is conceived to reduce the effort to adapt the area estimators to the evolutions of the EDA design environments. It consists in identifying the subset of measures that can be derived form the system level description and that are also relevant at VHDL-RT level. Estimators' parameters are then automatically derived from a set of benchmarks.,,,,Proceedings of the 41st annual Design Automation Conference,,,2004-06-07,2004,2004-06-07,2004-06-07,,,129-132,All OA; Green,Proceeding,"Brandolese, Carlo; Fornaciari, William; Salice, Fabio","Brandolese, Carlo (Politecnico di Milano, Milano, Italy); Fornaciari, William (Politecnico di Milano, Milano, Italy); Salice, Fabio (Politecnico di Milano, Milano, Italy)",,"Brandolese, Carlo (Politecnico di Milano); Fornaciari, William (Politecnico di Milano); Salice, Fabio (Politecnico di Milano)",44,1,,11.63,http://www.cs.york.ac.uk/rts/docs/SIGDA-Compendium-1994-2004/papers/2004/dac04/pdffiles/p129.pdf,https://app.dimensions.ai/details/publication/pub.1039274834,"40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware",
1317,pub.1170797374,10.48550/arxiv.2404.10875,,,SA-DS: A Dataset for Large Language Model-Driven AI Accelerator Design Generation,"In the ever-evolving landscape of Deep Neural Networks (DNN) hardware
acceleration, unlocking the true potential of systolic array accelerators has
long been hindered by the daunting challenges of expertise and time investment.
Large Language Models (LLMs) offer a promising solution for automating code
generation which is key to unlocking unprecedented efficiency and performance
in various domains, including hardware descriptive code. The generative power
of LLMs can enable the effective utilization of preexisting designs and
dedicated hardware generators. However, the successful application of LLMs to
hardware accelerator design is contingent upon the availability of specialized
datasets tailored for this purpose. To bridge this gap, we introduce the
Systolic Array-based Accelerator Data Set (SA-DS). SA-DS comprises a diverse
collection of spatial array designs following the standardized Berkeley's
Gemmini accelerator generator template, enabling design reuse, adaptation, and
customization. SA-DS is intended to spark LLM-centered research on DNN hardware
accelerator architecture. We envision that SA-DS provides a framework that will
shape the course of DNN hardware acceleration research for generations to come.
SA-DS is open-sourced under the permissive MIT license at
https://github.com/ACADLab/SA-DS.git}{https://github.com/ACADLab/SA-DS.",,,arXiv,,,,2024-04-16,2024,,,,,,All OA; Green,Preprint,"Vungarala, Deepak; Nazzal, Mahmoud; Morsali, Mehrdad; Zhang, Chao; Ghosh, Arnob; Khreishah, Abdallah; Angizi, Shaahin","Vungarala, Deepak (); Nazzal, Mahmoud (); Morsali, Mehrdad (); Zhang, Chao (); Ghosh, Arnob (); Khreishah, Abdallah (); Angizi, Shaahin ()",,"Vungarala, Deepak (); Nazzal, Mahmoud (); Morsali, Mehrdad (); Zhang, Chao (); Ghosh, Arnob (); Khreishah, Abdallah (); Angizi, Shaahin ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1170797374,"40 Engineering; 4009 Electronics, Sensors and Digital Hardware; 46 Information and Computing Sciences",7 Affordable and Clean Energy
1314,pub.1172839857,10.48550/arxiv.2406.09233,,,C2HLSC: Can LLMs Bridge the Software-to-Hardware Design Gap?,"High Level Synthesis (HLS) tools offer rapid hardware design from C code, but
their compatibility is limited by code constructs. This paper investigates
Large Language Models (LLMs) for refactoring C code into HLS-compatible
formats. We present several case studies by using an LLM to rewrite C code for
NIST 800-22 randomness tests, a QuickSort algorithm and AES-128 into
HLS-synthesizable c. The LLM iteratively transforms the C code guided by user
prompts, implementing functions like streaming data and hardware-specific
signals. This evaluation demonstrates the LLM's potential to assist hardware
design refactoring regular C code into HLS synthesizable C code.",,,arXiv,,,,2024-06-13,2024,,,,,,All OA; Green,Preprint,"Collini, Luca; Garg, Siddharth; Karri, Ramesh","Collini, Luca (); Garg, Siddharth (); Karri, Ramesh ()",,"Collini, Luca (); Garg, Siddharth (); Karri, Ramesh ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1172839857,40 Engineering; 4008 Electrical Engineering; 46 Information and Computing Sciences,
1306,pub.1182097721,10.1109/mlcad62225.2024.10740204,,,Cross-Modality Program Representation Learning for Electronic Design Automation with High-Level Synthesis,"In recent years, domain-specific accelerators (DSAs) have gained popularity for applications such as deep learning and autonomous driving. To facilitate DSA designs, programmers use high-level synthesis (HLS) to compile a high-level description written in C/C++ into a design with low-level hardware description languages that eventually synthesize DSAs on circuits. However, creating a high-quality HLS design still demands significant domain knowledge, particularly in microarchitecture decisions expressed as pragmas. Thus, it is desirable to automate such decisions with the help of machine learning for predicting the quality of HLS designs, requiring a deeper understanding of the program that consists of original code and pragmas. Naturally, these programs can be considered as sequence data. In addition, these programs can be compiled and converted into a control data flow graph (CDFG). But existing works either fail to leverage both modalities or combine the two in shallow or coarse ways. We propose PROGSG, a model that allows interaction between the source code sequence modality and the graph modality in a deep and fine-grained way. To alleviate the scarcity of labeled designs, a pre-training method is proposed based on a suite of compiler’s data flow analysis tasks. Experimental results show that PROGSG reduces the RMSE of design performance predictions by up to 22%, and identifies designs with an average of 1.10× and 1.26× (up to 8.17× and 13.31×) performance improvement in design space exploration (DSE) task compared to HARP and AutoDSE, respectively. CCS Concepts • Hardware → High-level and register-transfer level synthesis; • Computing methodologies → Neural networks.","This work was partially supported by NSF grants 2211557, 1937599, 2119643, and 2303037, SRC JUMP 2.0 PRISM Center, NASA, Okawa Foundation, Amazon Research, Cisco, Picsart, Snapchat, and the CDSC industrial partners (https://cdsc.ucla.edu/partners/). The authors would also like to thank Maria Brbic (EPFL) for early discussions on integrating GNN and LLM models, AMD/Xilinx for HACC equipment donation, and Marci Baun for editing the paper. J. Cong has a financial interest in AMD.","This work was partially supported by NSF grants 2211557, 1937599, 2119643, and 2303037, SRC JUMP 2.0 PRISM Center, NASA, Okawa Foundation, Amazon Research, Cisco, Picsart, Snapchat, and the CDSC industrial partners (https://cdsc.ucla.edu/partners/). The authors would also like to thank Maria Brbic (EPFL) for early discussions on integrating GNN and LLM models, AMD/Xilinx for HACC equipment donation, and Marci Baun for editing the paper. J. Cong has a financial interest in AMD.",,2024 ACM/IEEE 6th Symposium on Machine Learning for CAD (MLCAD),,,2024-01-11,2024,,2024-01-11,00,,1-12,All OA; Green,Proceeding,"Qin, Zongyue; Bai, Yunsheng; Sohrabizadeh, Atefeh; Ding, Zijian; Hu, Ziniu; Sun, Yizhou; Cong, Jason","Qin, Zongyue (University of California, Los Angeles, USA); Bai, Yunsheng (University of California, Los Angeles, USA); Sohrabizadeh, Atefeh (University of California, Los Angeles, USA); Ding, Zijian (University of California, Los Angeles, USA); Hu, Ziniu (University of California, Los Angeles, USA); Sun, Yizhou (University of California, Los Angeles, USA); Cong, Jason (University of California, Los Angeles, USA)","Qin, Zongyue (University of California, Los Angeles)","Qin, Zongyue (University of California, Los Angeles); Bai, Yunsheng (University of California, Los Angeles); Sohrabizadeh, Atefeh (University of California, Los Angeles); Ding, Zijian (University of California, Los Angeles); Hu, Ziniu (University of California, Los Angeles); Sun, Yizhou (University of California, Los Angeles); Cong, Jason (University of California, Los Angeles)",0,0,,,https://arxiv.org/pdf/2406.09606,https://app.dimensions.ai/details/publication/pub.1182097721,"40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware; 46 Information and Computing Sciences",
1305,pub.1168184503,10.48550/arxiv.2401.12224,,,LLM4EDA: Emerging Progress in Large Language Models for Electronic Design Automation,"Driven by Moore's Law, the complexity and scale of modern chip design are
increasing rapidly. Electronic Design Automation (EDA) has been widely applied
to address the challenges encountered in the full chip design process. However,
the evolution of very large-scale integrated circuits has made chip design
time-consuming and resource-intensive, requiring substantial prior expert
knowledge. Additionally, intermediate human control activities are crucial for
seeking optimal solutions. In system design stage, circuits are usually
represented with Hardware Description Language (HDL) as a textual format.
Recently, Large Language Models (LLMs) have demonstrated their capability in
context understanding, logic reasoning and answer generation. Since circuit can
be represented with HDL in a textual format, it is reasonable to question
whether LLMs can be leveraged in the EDA field to achieve fully automated chip
design and generate circuits with improved power, performance, and area (PPA).
In this paper, we present a systematic study on the application of LLMs in the
EDA field, categorizing it into the following cases: 1) assistant chatbot, 2)
HDL and script generation, and 3) HDL verification and analysis. Additionally,
we highlight the future research direction, focusing on applying LLMs in logic
synthesis, physical design, multi-modal feature extraction and alignment of
circuits. We collect relevant papers up-to-date in this field via the following
link: https://github.com/Thinklab-SJTU/Awesome-LLM4EDA.",,,arXiv,,,,2023-12-28,2023,,,,,,All OA; Green,Preprint,"Zhong, Ruizhe; Du, Xingbo; Kai, Shixiong; Tang, Zhentao; Xu, Siyuan; Zhen, Hui-Ling; Hao, Jianye; Xu, Qiang; Yuan, Mingxuan; Yan, Junchi","Zhong, Ruizhe (); Du, Xingbo (); Kai, Shixiong (); Tang, Zhentao (); Xu, Siyuan (); Zhen, Hui-Ling (); Hao, Jianye (); Xu, Qiang (); Yuan, Mingxuan (); Yan, Junchi ()",,"Zhong, Ruizhe (); Du, Xingbo (); Kai, Shixiong (); Tang, Zhentao (); Xu, Siyuan (); Zhen, Hui-Ling (); Hao, Jianye (); Xu, Qiang (); Yuan, Mingxuan (); Yan, Junchi ()",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1168184503,"40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware",
1302,pub.1176218049,10.1109/lad62341.2024.10691856,,,C2HLSC: Can LLMs Bridge the Software-to-Hardware Design Gap?,"High Level Synthesis (HLS) tools offer rapid hardware design from C code, but their compatibility is limited by code constructs. This paper investigates Large Language Models (LLMs) for refactoring C code into HLS-compatible formats. We present several case studies by using an LLM to rewrite C code for NIST 800-22 randomness tests, a QuickSort algorithm and AES-128 into HLS-synthesizable c. The LLM iteratively transforms the C code guided by user prompts, implementing functions like streaming data and hardware-specific signals. This evaluation demonstrates the LLM’s potential to assist hardware design refactoring regular C code into HLS synthesizable C code.",,,,2024 IEEE LLM Aided Design Workshop (LAD),,,2024-06-29,2024,,2024-06-29,00,,1-12,All OA; Green,Proceeding,"Collini, Luca; Garg, Siddharth; Karri, Ramesh","Collini, Luca (); Garg, Siddharth (); Karri, Ramesh ()","Collini, Luca ()","Collini, Luca (); Garg, Siddharth (); Karri, Ramesh ()",1,1,,,http://arxiv.org/pdf/2406.09233,https://app.dimensions.ai/details/publication/pub.1176218049,40 Engineering; 4008 Electrical Engineering; 46 Information and Computing Sciences,
1280,pub.1182069090,10.1109/socc62300.2024.10737859,,,SOCC 2024 Conference Programme,,,,2015 28th IEEE International System-on-Chip Conference (SOCC),2024 IEEE 37th International System-on-Chip Conference (SOCC),,,2024-11-05,2024,2024-11-05,,,,xv-xxxv,Closed,Proceeding,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1182069090,,
1279,pub.1181098255,10.48550/arxiv.2410.04466,,,Large Language Model Inference Acceleration: A Comprehensive Hardware Perspective,"Large Language Models (LLMs) have demonstrated remarkable capabilities across
various fields, from natural language understanding to text generation.
Compared to non-generative LLMs like BERT and DeBERTa, generative LLMs like GPT
series and Llama series are currently the main focus due to their superior
algorithmic performance. The advancements in generative LLMs are closely
intertwined with the development of hardware capabilities. Various hardware
platforms exhibit distinct hardware characteristics, which can help improve LLM
inference performance. Therefore, this paper comprehensively surveys efficient
generative LLM inference on different hardware platforms. First, we provide an
overview of the algorithm architecture of mainstream generative LLMs and delve
into the inference process. Then, we summarize different optimization methods
for different platforms such as CPU, GPU, FPGA, ASIC, and PIM/NDP, and provide
inference results for generative LLMs. Furthermore, we perform a qualitative
and quantitative comparison of inference performance with batch sizes 1 and 8
on different hardware platforms by considering hardware power consumption,
absolute inference speed (tokens/s), and energy efficiency (tokens/J). We
compare the performance of the same optimization methods across different
hardware platforms, the performance across different hardware platforms, and
the performance of different methods on the same hardware platform. This
provides a systematic and comprehensive summary of existing inference
acceleration work by integrating software optimization methods and hardware
platforms, which can point to the future trends and potential developments of
generative LLMs and hardware technology for edge-side scenarios.",,,arXiv,,,,2024-10-06,2024,,,,,,All OA; Green,Preprint,"Li, Jinhao; Xu, Jiaming; Huang, Shan; Chen, Yonghua; Li, Wen; Liu, Jun; Lian, Yaoxiu; Pan, Jiayi; Ding, Li; Zhou, Hao; Wang, Yu; Dai, Guohao","Li, Jinhao (); Xu, Jiaming (); Huang, Shan (); Chen, Yonghua (); Li, Wen (); Liu, Jun (); Lian, Yaoxiu (); Pan, Jiayi (); Ding, Li (); Zhou, Hao (); Wang, Yu (); Dai, Guohao ()",,"Li, Jinhao (); Xu, Jiaming (); Huang, Shan (); Chen, Yonghua (); Li, Wen (); Liu, Jun (); Lian, Yaoxiu (); Pan, Jiayi (); Ding, Li (); Zhou, Hao (); Wang, Yu (); Dai, Guohao ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1181098255,46 Information and Computing Sciences; 4602 Artificial Intelligence,7 Affordable and Clean Energy
1277,pub.1181200825,10.1109/fpl64840.2024.00053,,,LORA: A Latency-Oriented Recurrent Architecture for GPT Model on Multi-FPGA Platform with Communication Optimization,"Large Language Models (LLMs) have been widely deployed in data centers to provide various services, among which the most representative is the Generative Pre-trained Transformer (GPT). The GPT model has heavy memory and computing overhead, and its inference process has two stages with distinct computing characteristics: Prefill and Decode. Utilizing existing GPUs and FPGA accelerators to construct a platform for deploying GPT in data centers faces the challenges of needing more effective synchronization schemes or structures with higher computational intensity. This paper proposes LORA, a low latency end-to-end GPT acceleration platform utilizing multiple FPGAs. Firstly, we optimize the synchronization timing of the GPT model to reduce the computation and communication overhead. Secondly, we devise some efficient synchronization steps for specific layers of the GPT model that overlap part of the computation and communication delay to improve the latency of our platform. Finally, we deploy recurrent structures on each FPGA to accelerate the different stages of the GPT model. Implemented on the Xilinx Alveo U280 FPGAs, LORA achieves an average $11.1 \times$ speedup over NVIDIA V100 GPUs on the modern GPT-2 model. Compared to the existing multi-FPGA accelerator appliance, LORA shows performance improvements of up to $4 \times$ and $2.7 \times$ in the Prefill and Decode stages.","This work was supported in part by the National Key R&amp;D Program of China under Grants 2022YFB4501600 and 2022YFB4501603, in part by the National Natural Science Foundation of China under Grants 62102383, 61976200, and 62172380, in part by Jiangsu Provincial Natural Science Foundation under Grant BK20210123, in part by Youth Innovation Promotion Association CAS under Grant Y2021121.","This work was supported in part by the National Key R&D Program of China under Grants 2022YFB4501600 and 2022YFB4501603, in part by the National Natural Science Foundation of China under Grants 62102383, 61976200, and 62172380, in part by Jiangsu Provincial Natural Science Foundation under Grant BK20210123, in part by Youth Innovation Promotion Association CAS under Grant Y2021121.",,2024 34th International Conference on Field-Programmable Logic and Applications (FPL),,,2024-01-06,2024,,2024-01-06,00,,332-338,Closed,Proceeding,"Zheng, ZhenDong; Cheng, Qianyu; Wang, Teng; Gong, Lei; Chen, Xianglan; Tang, Cheng; Wang, Chao; Zhou, Xuehai","Zheng, ZhenDong (School of Computer Science and Technology, Suzhou Institute for Advanced Research University of Science and Technology of China); Cheng, Qianyu (School of Computer Science and Technology, Suzhou Institute for Advanced Research University of Science and Technology of China); Wang, Teng (School of Computer Science and Technology, Suzhou Institute for Advanced Research University of Science and Technology of China); Gong, Lei (School of Computer Science and Technology, Suzhou Institute for Advanced Research University of Science and Technology of China); Chen, Xianglan (School of Computer Science and Technology, Suzhou Institute for Advanced Research University of Science and Technology of China); Tang, Cheng (School of Computer Science and Technology, Suzhou Institute for Advanced Research University of Science and Technology of China); Wang, Chao (School of Computer Science and Technology, Suzhou Institute for Advanced Research University of Science and Technology of China); Zhou, Xuehai (School of Computer Science and Technology, Suzhou Institute for Advanced Research University of Science and Technology of China)","Wang, Teng (University of Science and Technology of China); Gong, Lei (University of Science and Technology of China)","Zheng, ZhenDong (University of Science and Technology of China); Cheng, Qianyu (University of Science and Technology of China); Wang, Teng (University of Science and Technology of China); Gong, Lei (University of Science and Technology of China); Chen, Xianglan (University of Science and Technology of China); Tang, Cheng (University of Science and Technology of China); Wang, Chao (University of Science and Technology of China); Zhou, Xuehai (University of Science and Technology of China)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1181200825,40 Engineering; 4008 Electrical Engineering; 46 Information and Computing Sciences,
1276,pub.1158185737,10.48550/arxiv.2305.10838,,,ProgSG: Cross-Modality Representation Learning for Programs in Electronic Design Automation,"Recent years have witnessed the growing popularity of domain-specific
accelerators (DSAs), such as Google's TPUs, for accelerating various
applications such as deep learning, search, autonomous driving, etc. To
facilitate DSA designs, high-level synthesis (HLS) is used, which allows a
developer to compile a high-level description in the form of software code in C
and C++ into a design in low-level hardware description languages (such as VHDL
or Verilog) and eventually synthesized into a DSA on an ASIC
(application-specific integrated circuit) or FPGA (field-programmable gate
arrays). However, existing HLS tools still require microarchitecture decisions,
expressed in terms of pragmas (such as directives for parallelization and
pipelining). To enable more people to design DSAs, it is desirable to automate
such decisions with the help of deep learning for predicting the quality of HLS
designs. This requires us a deeper understanding of the program, which is a
combination of original code and pragmas. Naturally, these programs can be
considered as sequence data, for which large language models (LLM) can help. In
addition, these programs can be compiled and converted into a control data flow
graph (CDFG), and the compiler also provides fine-grained alignment between the
code tokens and the CDFG nodes. However, existing works either fail to leverage
both modalities or combine the two in shallow or coarse ways. We propose ProgSG
allowing the source code sequence modality and the graph modalities to interact
with each other in a deep and fine-grained way. To alleviate the scarcity of
labeled designs, a pre-training method is proposed based on a suite of
compiler's data flow analysis tasks. Experimental results on two benchmark
datasets show the superiority of ProgSG over baseline methods that either only
consider one modality or combine the two without utilizing the alignment
information.",,,arXiv,,,,2023-05-18,2023,,,,,,All OA; Green,Preprint,"Bai, Yunsheng; Sohrabizadeh, Atefeh; Qin, Zongyue; Hu, Ziniu; Sun, Yizhou; Cong, Jason","Bai, Yunsheng (); Sohrabizadeh, Atefeh (); Qin, Zongyue (); Hu, Ziniu (); Sun, Yizhou (); Cong, Jason ()",,"Bai, Yunsheng (); Sohrabizadeh, Atefeh (); Qin, Zongyue (); Hu, Ziniu (); Sun, Yizhou (); Cong, Jason ()",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1158185737,"40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware; 46 Information and Computing Sciences",
